Order_ID,Store_ID,Store_Location,Product_Category,Product_Name,Unit_Price,Quantity,Order_Date,Total_Sales,Customer_Type
134857,WMT_4,Florida,Groceries,Eggs,192,1,2022-10-25,192,Regular
131393,WMT_9,Arizona,Automotive,Car Oil,3204,1,2022-08-20,3204,Regular
150754,WMT_7,Georgia,Toys,Board Game,2059,2,2023-08-19,4118,Regular
145675,WMT_8,Colorado,Groceries,Bread,134,1,2023-05-14,134,Regular
120967,WMT_7,Georgia,Clothing,Shorts,797,1,2022-02-05,797,Regular
151111,WMT_8,Colorado,Clothing,Shorts,1540,1,2023-08-26,1540,Regular
156763,WMT_7,Georgia,Pharmacy,Vitamins,541,1,2023-12-11,541,Member
135946,WMT_7,Georgia,Clothing,T-Shirt,752,1,2022-11-14,752,Member
123296,WMT_7,Georgia,Stationery,Calculator,272,3,2022-03-21,816,Regular
147280,WMT_10,Nevada,Pharmacy,Painkiller,193,1,2023-06-13,193,Regular
148683,WMT_8,Colorado,Groceries,Vegetables,143,1,2023-07-10,143,Regular
142803,WMT_2,California,Clothing,Jacket,395,1,2023-03-24,395,Member
140695,WMT_9,Arizona,Groceries,Milk,165,1,2023-02-12,165,Regular
117941,WMT_7,Georgia,Stationery,Stapler,218,1,2021-12-09,218,Regular
143261,WMT_3,Texas,Groceries,Rice,87,1,2023-04-01,87,Regular
109710,WMT_7,Georgia,Home Supplies,Toilet Paper,140,1,2021-07-02,140,Member
135717,WMT_3,Texas,Groceries,Bread,118,1,2022-11-10,118,Regular
104266,WMT_7,Georgia,Groceries,Milk,70,2,2021-03-21,140,Member
153614,WMT_3,Texas,Stationery,Marker,183,1,2023-10-14,183,Member
135600,WMT_10,Nevada,Groceries,Vegetables,179,1,2022-11-07,179,Member
144351,WMT_9,Arizona,Clothing,Jacket,739,1,2023-04-21,739,Regular
104230,WMT_1,New York,Electronics,LED TV,56905,1,2021-03-21,56905,Regular
115695,WMT_2,California,Groceries,Eggs,199,1,2021-10-25,199,Regular
130231,WMT_5,Illinois,Automotive,Battery,7746,1,2022-07-29,7746,New
141468,WMT_1,New York,Sports,Yoga Mat,3785,1,2023-02-27,3785,Regular
103699,WMT_4,Florida,Toys,Action Figure,3115,1,2021-03-11,3115,Regular
112629,WMT_6,Washington,Stationery,Pen,245,1,2021-08-27,245,Regular
143744,WMT_3,Texas,Stationery,Stapler,179,1,2023-04-10,179,Member
120185,WMT_9,Arizona,Beauty,Lipstick,1322,1,2022-01-21,1322,Regular
146982,WMT_1,New York,Pharmacy,Cough Syrup,407,1,2023-06-08,407,Regular
141104,WMT_7,Georgia,Groceries,Eggs,74,1,2023-02-20,74,New
141686,WMT_5,Illinois,Home Supplies,Napkins,884,1,2023-03-03,884,Regular
137237,WMT_6,Washington,Pharmacy,Cough Syrup,548,1,2022-12-08,548,Regular
101335,WMT_6,Washington,Sports,Football,10916,1,2021-01-26,10916,Regular
116049,WMT_9,Arizona,Pharmacy,Bandage,797,2,2021-11-01,1594,Regular
133499,WMT_9,Arizona,Clothing,T-Shirt,391,1,2022-09-29,391,Regular
104234,WMT_1,New York,Groceries,Eggs,49,1,2021-03-21,49,New
117151,WMT_6,Washington,Groceries,Rice,61,1,2021-11-24,61,Regular
111853,WMT_9,Arizona,Clothing,Dress,1359,2,2021-08-12,2718,Member
