Date,Forecast_LR
2024-01-01,282218.8220997888
2024-01-02,282226.7035803062
2024-01-03,282234.5850608236
2024-01-04,282242.466541341
2024-01-05,282250.3480218584
2024-01-06,282258.2295023758
2024-01-07,282266.1109828932
2024-01-08,282273.9924634106
2024-01-09,282281.873943928
2024-01-10,282289.7554244454
2024-01-11,282297.63690496277
2024-01-12,282305.51838548016
2024-01-13,282313.39986599755
2024-01-14,282321.28134651494
2024-01-15,282329.1628270324
2024-01-16,282337.0443075498
2024-01-17,282344.92578806716
2024-01-18,282352.80726858455
2024-01-19,282360.68874910194
2024-01-20,282368.57022961933
2024-01-21,282376.4517101367
2024-01-22,282384.3331906541
2024-01-23,282392.2146711715
2024-01-24,282400.09615168895
2024-01-25,282407.97763220634
2024-01-26,282415.85911272373
2024-01-27,282423.7405932411
2024-01-28,282431.6220737585
2024-01-29,282439.5035542759
2024-01-30,282447.3850347933
